Movie Name,Storyline,Cleaned_Storyline
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",fading celebrity takes black market drug cell replicating substance helps create younger better version
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",life affirming genre bending story three chapters life ordinary man named charles krantz
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",couple vacation secluded estate upended forced share mansion mysterious couple dream getaway spirals nightmarish maze sex lies manipulation triggering battle survival
Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",young stripper brooklyn meets impulsively marries son russian oligarch news reaches russia fairy tale threatened parents set new york get marriage annulled
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",based factual account group outsiders settle remote island discover greatest threat brutal climate deadly wildlife
Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,broker lucrative payoffs corrupt corporations individuals threaten breaks rules new client seeks protection stay alive
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",paul atreides unites fremen warpath revenge conspirators destroyed family facing choice love life fate universe endeavors prevent terrible future
Civil War,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",dystopian future four journalists travel across united states nation wide conflict trying survive aim reach white house interview president overthrown
He's Watching You,A teenager investigating mysterious murders in his small town discovers a collection of VHS tapes that could reveal the identity of a notorious serial killer.,teenager investigating mysterious murders small town discovers collection vhs tapes could reveal identity notorious serial killer
Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",home conquered tyrannical emperors lead rome lucius forced enter colosseum must look past find strength return glory rome people
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",elphaba young woman ridiculed green skin galinda popular girl become friends shiz university land oz encounter wonderful wizard oz friendship reaches crossroads
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",tech billionaire slater king meets cocktail waitress frida fundraising gala invites join friends dream vacation private island strange things start happen frida questions reality
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,visionary architect flees post war europe brighter future united states finds life forever changed wealthy client
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",unknown year old bob dylan arrives new york city guitar forges relationships musical icons meteoric rise culminating groundbreaking performance reverberates around world
Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",deadpool offered place marvel cinematic universe time variance authority instead recruits variant wolverine save universe extinction
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",gothic tale obsession haunted young woman terrifying vampire infatuated causing untold horror wake
Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,two young religious women drawn game cat mouse house strange man
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",woman first love suddenly reenters life relationship charming abusive neurosurgeon upended realizes must learn rely strength make impossible choice future
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",scavenging deep ends derelict space station group young space colonists come face face terrifying life form universe
Kangaroo Island,"A struggling Hollywood actress returns home to Kangaroo Island, confronting the love triangle that tore her family apart.",struggling hollywood actress returns home kangaroo island confronting love triangle tore family apart
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",group criminals kidnap ballerina daughter powerful underworld figure retreat isolated mansion unaware locked inside normal little girl
Friendship,A suburban dad falls hard for his charismatic new neighbor.,suburban dad falls hard charismatic new neighbor
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",shipwreck intelligent robot called roz stranded uninhabited island survive harsh environment roz bonds island animals cares orphaned baby goose
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",cardinal lawrence tasked leading selection new pope finds web conspiracy intrigue could shake foundations catholic church
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",discovery ancient artifact unleashes evil force ghostbusters new old must join forces protect home save world second ice age
Secret Mall Apartment,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved.",eight rhode islanders created secret apartment inside busy mall lived four years filming everything along way far prank secret apartment became deeply meaningful place involved
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,british military recruits small group highly skilled soldiers strike german forces behind enemy lines world war ii
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",stuntman fresh almost career ending accident track missing movie star solve conspiracy try win back love life still day job
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,woman married former politician military dictatorship brazil forced reinvent chart new course family violent arbitrary act
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",man seeks break free predetermined path cop questions wife demeanor return supposed drowning woman searches extraordinary individual prophesied become renowned spiritual guide
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,high powered ceo puts career family line begins torrid affair much younger intern
Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",desperate reclaim career beloved actress samantha lake drawn glamorous world wellness mogul zoe shannon uncover monstrous truth beneath flawless surface
Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",tashi former tennis prodigy turned coach transformed husband champion overcome recent losing streak redeem need face former best friend tashi ex boyfriend
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,follows two robbers must go run help one therapists theft go planned
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",pursuit serial killer fbi agent uncovers series occult clues must solve end terrifying killing spree
We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",unusual encounter talented chef recently divorcée fall love build home family always dreamed painful truth puts love story test
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",young man took father real estate business new york got helping hand infamous closeted gay lawyer helped turn young man notorious legend based true events
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",solène year old single mom begins unexpected romance year old hayes campbell lead singer august moon hottest boy band planet
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,former operative powerful organization embarks brutal campaign vengeance
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",two rival fixers cross paths called help cover prominent new york official misstep one explosive night set aside petty grievances egos finish job
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,devoted father bill furlong discovers disturbing secrets kept local convent uncovers shocking truths
We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",catastrophic military disaster dead rise hunt ava searches missing husband finds far terrifying
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",family invited spend whole weekend lonely home countryside weekend progresses realize dark side lies within family invited
